               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.042461,            0.019761,           0.0011245,             0.77836,             0.75116,             0.78002,             0.47276,            0.043086,            0.018435,            0.001672,           0.0093466,           0.0093466,           0.0093466
                  68,            0.042741,            0.020142,            0.001238,             0.76614,             0.76488,             0.77208,             0.46751,            0.043831,            0.018306,           0.0017459,           0.0093367,           0.0093367,           0.0093367
                  69,            0.042909,            0.019566,          0.00084719,             0.78718,             0.75346,             0.79266,             0.48328,            0.042835,            0.017987,            0.001744,           0.0093268,           0.0093268,           0.0093268
                  70,            0.041971,            0.020308,          0.00075463,             0.78192,             0.76262,             0.78809,             0.48161,            0.043098,            0.018229,           0.0018339,           0.0093169,           0.0093169,           0.0093169
                  71,            0.042132,            0.020148,           0.0011922,             0.74975,             0.73776,             0.77056,             0.47895,            0.043741,            0.018026,           0.0015583,            0.009307,            0.009307,            0.009307
                  72,            0.042968,            0.020461,            0.001095,             0.80438,             0.77044,             0.79345,             0.49667,            0.043192,            0.017597,           0.0025078,           0.0092971,           0.0092971,           0.0092971
                  73,            0.042664,            0.020559,           0.0010944,             0.77423,             0.77538,             0.78828,             0.46763,            0.043709,            0.017978,           0.0016689,           0.0092872,           0.0092872,           0.0092872
                  74,            0.041699,            0.019744,          0.00079922,             0.76524,              0.7226,               0.771,             0.48862,            0.042705,            0.017848,           0.0016821,           0.0092773,           0.0092773,           0.0092773
                  75,            0.042244,            0.020106,          0.00099551,             0.78802,             0.75353,             0.79688,             0.50195,            0.042781,            0.017878,           0.0017528,           0.0092674,           0.0092674,           0.0092674
                  76,              0.0421,            0.019755,           0.0011351,             0.76403,             0.75916,             0.78586,             0.49495,            0.042695,            0.018052,           0.0018921,           0.0092575,           0.0092575,           0.0092575
                  77,            0.041951,            0.019896,           0.0010314,             0.78718,             0.74393,             0.78122,             0.48248,             0.04337,            0.018034,           0.0019681,           0.0092476,           0.0092476,           0.0092476
                  78,            0.041899,            0.019189,           0.0011933,             0.80417,             0.72361,             0.77682,             0.49752,            0.043029,            0.018249,           0.0016874,           0.0092377,           0.0092377,           0.0092377
                  79,            0.041495,            0.019674,          0.00094203,             0.78052,             0.76331,             0.79115,             0.48337,             0.04285,            0.018073,           0.0014612,           0.0092278,           0.0092278,           0.0092278
                  80,            0.041877,            0.020116,           0.0011024,             0.78559,             0.77101,             0.80205,             0.48644,             0.04339,            0.018009,           0.0017013,           0.0092179,           0.0092179,           0.0092179
                  81,            0.041309,             0.01958,           0.0011279,             0.74158,             0.73385,             0.78057,             0.47972,            0.042974,            0.017933,           0.0019738,            0.009208,            0.009208,            0.009208
                  82,            0.041751,            0.019682,          0.00087239,              0.8031,             0.77598,             0.79136,             0.48449,            0.042857,             0.01811,           0.0018341,           0.0091981,           0.0091981,           0.0091981
                  83,            0.042634,            0.019849,           0.0011148,             0.76213,             0.77491,             0.78251,             0.49101,            0.042624,            0.017964,           0.0014261,           0.0091882,           0.0091882,           0.0091882
                  84,            0.041179,             0.01963,            0.001059,             0.79936,              0.7583,             0.80242,             0.48924,            0.043002,             0.01792,           0.0015181,           0.0091783,           0.0091783,           0.0091783
                  85,            0.041456,            0.020069,           0.0011182,             0.78144,             0.78727,             0.80213,             0.49955,            0.042738,            0.017772,           0.0017882,           0.0091684,           0.0091684,           0.0091684
